=== 2022 RACK RAID EXTRACTION AUDIT CHECKLIST ===

--- LEG 1 ---
Pos 16 | Time: 00:45:02 | Martin Green (Pontypridd A)
Pos 17 | Time: 00:45:04 | Rosie Salvatore Ogmore A (Pont-y-pwl A)
Pos 18 | Time: 00:45:53 | Sarah-Louise Francis (Lliswerry B)
Pos 19 | Time: 00:46:09 | Lauren Old Pegasus (Caerphilly A)
Pos 20 | Time: 00:46:19 | Emma Bagley Fairwater A (Pontypridd A)
Pos 21 | Time: 00:48:07 | Jenny Martin (Les Croupiers A)
Pos 22 | Time: 00:48:26 | Steph Iveson-Holmes Ogmore B (Fairwater B)
Pos 23 | Time: 00:48:50 | Lindsay Davies Pont-y-pwl B (Les Croupiers B)
Pos 24 | Time: 00:50:00 | Wendy Hughes Fairwater B (Griffithstown B)
Pos 25 | Time: 00:50:01 | Maddy Clabon (Caerleon B)
Pos 26 | Time: 00:50:02 | Gemma Green (Rhondda A)
Pos 27 | Time: 00:50:03 | Jo Paling (Griffithstown B)
Pos 28 | Time: 01:00:00 | Tina Lloyd Brackla (Caerleon A)
Total Runners Extracted for Leg 7: 28

--- LEG 8 ---
Pos 01 | Time: 01:17:32 | Jacob Tasker Ogmore A (Lliswerry A)
Pos 02 | Time: 01:22:56 | Richard Jones (Lliswerry A)
Pos 03 | Time: 01:26:15 | Sean Taylor (Griffithstown A)
Pos 04 | Time: 01:30:20 | Owen Staddon Caldicot (Caerphilly A)
Pos 05 | Time: 01:31:24 | Jonathan Carter Chepstow A (Pont-y-pwl A)
Pos 06 | Time: 01:32:35 | David Hazell (Caerphilly A)
Pos 07 | Time: 01:34:21 | Adrian Lewis (Aberdare A)
Pos 08 | Time: 01:37:49 | Paul Josua (San Domenico A)
Pos 09 | Time: 01:42:27 | Richard Price Parc Bryn Bach A Parc Bryn Bach A (Independent A)
Pos 10 | Time: 01:43:02 | Colin Wilmott (Griffithstown B)
Pos 11 | Time: 01:43:50 | John Keeble Pont-y-pwl (San Domenico A)
Pos 12 | Time: 01:44:24 | Ian Davies Caerleon (Fairwater A)
Pos 13 | Time: 01:45:08 | Rob Walker (Pont-y-pwl B)
Pos 14 | Time: 01:45:43 | Craig Thomas (Caerphilly B)
Pos 15 | Time: 01:46:24 | Jordan Brown Pontypridd A (Pont-y-pwl A)
Pos 16 | Time: 01:47:43 | David Brown (Lliswerry B)
Pos 17 | Time: 01:48:13 | Alan Aird Monmouth A (Lliswerry A)
Pos 18 | Time: 01:52:52 | Paul Chapman (Les Croupiers A)
Pos 19 | Time: 01:53:53 | Andy Hughes (Chepstow B)
Pos 20 | Time: 01:54:02 | Steve Lane Islwyn A (Pontypridd A)
Pos 21 | Time: 01:54:03 | Martin Jones Islwyn B (Monmouth B)
Pos 22 | Time: 01:54:54 | Giuseppe Santese Brackla A (Griffithstown A)
Pos 23 | Time: 01:55:39 | Gareth Purkis Caerleon B (Les Croupiers B)
Pos 24 | Time: 01:57:08 | Leonie Roberts (Fairwater A)
Pos 25 | Time: 01:57:38 | Kevin Raymond (Ogmore B)
Pos 26 | Time: 01:58:00 | Stuart Felix Rhondda (Caerleon A)
Pos 27 | Time: 02:08:00 | Sally Groves Pegasus (Rhondda A)
Pos 28 | Time: 02:08:01 | Andy Davies (Fairwater B)
Total Runners Extracted for Leg 8: 28

--- LEG 9 ---
Pos 01 | Time: 01:00:02 | Nick Tulp (Lliswerry A)
Pos 02 | Time: 01:04:02 | Tim Batchelor (Chepstow A)
Pos 03 | Time: 01:05:10 | Niki Puleio Ogmore A (Griffithstown A)
Pos 04 | Time: 01:05:13 | Grant Lewis (Griffithstown A)
Pos 05 | Time: 01:06:41 | Matt Turner Caerleon A (Pont-y-pwl A)
Pos 06 | Time: 01:07:45 | Jon Ford (Fairwater A)
Pos 07 | Time: 01:08:01 | Doug Briggs Chepstow (Aberdare B)
Pos 08 | Time: 01:08:22 | John Seaward (Caerphilly A)
Pos 09 | Time: 01:12:20 | Jason Dixon (Islwyn A)
Pos 10 | Time: 01:12:28 | Richard Matthews (Aberdare A)
Pos 11 | Time: 01:12:40 | Simon Gill Lliswerry B (Fairwater B)
Pos 12 | Time: 01:13:38 | Elizabeth May (Pontypridd A)
Pos 13 | Time: 01:14:04 | Brian Lovett (San Domenico A)
Pos 14 | Time: 01:14:20 | Ian Ogilvie Brackla (Caldicot A)
Pos 15 | Time: 01:15:18 | Jamie Edwards (Pont-y-pwl A)
Pos 16 | Time: 01:15:25 | Lee Turner (Griffithstown B)
Pos 17 | Time: 01:15:43 | David Waters Islwyn (Brackla B)
Pos 18 | Time: 01:16:25 | Ethan Sayce Parc Bryn Bach A (Pontypridd A)
Pos 19 | Time: 01:18:40 | Ieuan Kingston Fairwater B (Pont-y-pwl B)
Pos 20 | Time: 01:19:09 | Harry Woodward Caldicot (Caerphilly A)
Pos 21 | Time: 01:20:24 | Steve Chadwell Les Croupiers A (Griffithstown A)
Pos 22 | Time: 01:20:59 | Peter Rodger (Caerleon B)
Pos 23 | Time: 01:22:22 | Martin Clayton Pont-y-pwl B (Les Croupiers B)
Pos 24 | Time: 01:22:31 | Martin Blakeborough Monmouth (Fairwater A)
Pos 25 | Time: 01:22:58 | Wayne Randall Ogmore B (Caerleon B)
Pos 26 | Time: 01:26:58 | Joanne Ryan (Rhondda A)
Pos 27 | Time: 01:28:15 | Emily Sams (Caerphilly B)
Pos 28 | Time: 01:28:23 | Aled Williams (Pegasus A)
Total Runners Extracted for Leg 9: 28

--- LEG 10 ---
Pos 01 | Time: 00:42:23 | Sandra Chipper (Lliswerry A)
Pos 02 | Time: 00:42:52 | Kyle Harvey (Fairwater A)
Pos 03 | Time: 00:43:34 | Cherry Fowler Chepstow A (Griffithstown A)
Pos 04 | Time: 00:44:30 | Andrew Barham (Caerphilly A)
Pos 05 | Time: 00:46:38 | James Brown Lliswerry B (Pont-y-pwl B)
Pos 06 | Time: 00:48:50 | Emma Morris (Ogmore A)
Pos 07 | Time: 00:49:53 | Matt Webb (Pont-y-pwl B)
Pos 08 | Time: 00:50:20 | Charlotte Moran Caerleon (Fairwater A)
Pos 09 | Time: 00:50:51 | Neil Beynon Parc Bryn Bach (Aberdare A)
Pos 10 | Time: 00:51:06 | Luke Davis Ogmore B (Islwyn B)
Pos 11 | Time: 00:51:34 | Emma Tracey (Caldicot A)
Pos 12 | Time: 00:52:25 | Lyndsay Poulsom (Pont-y-pwl A)
Pos 13 | Time: 00:53:04 | Julie Gould Islwyn B (San Domenico B)
Pos 14 | Time: 00:53:12 | Tammy Fry (Caerleon B)
Pos 15 | Time: 00:53:43 | Steven Hoare (Pontypridd A)
Pos 16 | Time: 00:54:05 | Lolly Evans (Les Croupiers A)
Pos 17 | Time: 00:54:13 | Mex Gaillard Monmouth A (Pont-y-pwl A)
Pos 18 | Time: 00:54:20 | Aimee Backhouse Chepstow B (Pontypridd B)
Pos 19 | Time: 00:54:22 | Sarah Davies Islwyn (Brackla A)
Pos 20 | Time: 00:55:41 | Mitch Bosse (Caerphilly B)
Pos 21 | Time: 00:56:46 | Elizabeth Stokes (Griffithstown A)
Pos 22 | Time: 00:56:58 | Sheena Egan Brackla A (Griffithstown A)
Pos 23 | Time: 00:57:35 | Sal Bissex Pegasus A (Les Croupiers A)
Pos 24 | Time: 00:58:15 | Leanne Bassett Rhondda (Fairwater A)
Pos 25 | Time: 00:58:47 | Sara Wakefield (Griffithstown B)
Pos 26 | Time: 00:59:23 | Niall Hughes (San Domenico A)
Pos 27 | Time: 01:00:00 | Bridget Garrod (Fairwater B)
Pos 28 | Time: 01:00:01 | Deborah Evans (Aberdare A)
Total Runners Extracted for Leg 10: 28

--- LEG 11 ---
Pos 01 | Time: 00:52:19 | Paul White (Pont-y-pwl A)
Pos 02 | Time: 00:52:49 | Will Ganley (Chepstow A)
Pos 03 | Time: 00:54:13 | Paul Bruton Lliswerry A (Griffithstown A)
Pos 04 | Time: 00:55:58 | Brian Jones (Griffithstown A)
Pos 05 | Time: 00:56:02 | Ross Howells Chepstow B (Pont-y-pwl B)
Pos 06 | Time: 00:57:08 | Mark Teesdale (Ogmore A)
Pos 07 | Time: 00:57:17 | Matt Tooby (Caerleon A)
Pos 08 | Time: 00:58:31 | Matthew Phillips (Caerphilly A)
Pos 09 | Time: 01:00:09 | Ross Owen (Rhondda A)
Pos 10 | Time: 01:00:30 | Lee Mills Islwyn A (Chepstow A)
Pos 11 | Time: 01:00:48 | Kristie O’Connell-James (Pontypridd A)
Pos 12 | Time: 01:00:52 | Brendon Price Aberdare (Fairwater A)
Pos 13 | Time: 01:02:32 | Sian Jones Parc Bryn Bach (San Domenico A)
Pos 14 | Time: 01:03:47 | Barry Burns Monmouth (Caldicot A)
Pos 15 | Time: 01:04:25 | Gavin Perkins (Lliswerry B)
Pos 16 | Time: 01:04:52 | Andrew Smith (Pont-y-pwl B)
Pos 17 | Time: 01:05:14 | Dean Oliver (Caerphilly B)
Pos 18 | Time: 01:05:22 | Mick Tabor (Les Croupiers A)
Pos 19 | Time: 01:06:57 | Alex Lyne (Caldicot A)
Pos 20 | Time: 01:08:01 | Rhys Williams (San Domenico A)
Pos 21 | Time: 01:08:34 | Liz Richards (Caerleon B)
Pos 22 | Time: 01:09:31 | Luke Styles (Griffithstown B)
Pos 23 | Time: 01:11:12 | Em Bissex Pegasus A (Les Croupiers A)
Pos 24 | Time: 01:11:32 | Stuart Fowler (Fairwater B)
Pos 25 | Time: 01:13:12 | Sharon Carrafa Islwyn B (Fairwater B)
Pos 26 | Time: 01:15:00 | Elizabeth Walsh (Fairwater A)
Pos 27 | Time: 01:15:01 | Dave Curran (Brackla A)
Pos 28 | Time: 01:15:02 | Rebecca Newton Ogmore B (Pegasus B)
Total Runners Extracted for Leg 11: 28

--- LEG 12 ---
Pos 01 | Time: 00:43:21 | Clare Patterson (Griffithstown A)
Pos 02 | Time: 00:43:58 | Georgie Parnell (Chepstow A)
Pos 03 | Time: 00:45:43 | Peter Edwards Fairwater A (Griffithstown A)
Pos 04 | Time: 00:46:07 | Adam Grey Pont-y-pwl B (Caerphilly B)
Pos 05 | Time: 00:46:14 | Jade Wakely Caerleon A (Pont-y-pwl A)
Pos 06 | Time: 00:46:23 | Emma Price-Stephens (Pont-y-pwl A)
Pos 07 | Time: 00:47:03 | Bryan Meredith Rhondda (Caerleon A)
Pos 08 | Time: 00:47:09 | Catherine Powell (Pontypridd A)
Pos 09 | Time: 00:47:45 | Naomi Davies (Caerphilly A)
Pos 10 | Time: 00:48:05 | Charlotte Johns (Brackla A)
